Year of Installation,SA,AADT,PRESSURE(bar),MWI_1,A_MAT,LANDUSE,TYPE,LPR_Corros,DEFECT1LV1,DEF_NATURE
1995,3.035595,10840,3.7,8.484222793,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1997,0.389988,9750,6.79,8.484222793,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1956,1.245324,14600,6.41,8.734548522,DI,URBAN,Other Location,Non-Corrosive,C01,M
2010,70.690977,,6.55,9.082830492,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,3.798144,11440,5.53,9.178004461,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2008,54.22152,24960,5.02,9.08106195,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1996,15.060382,,6.96,8.966343918,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1985,12.212088,,5.35,8.426098296,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1994,0.42861,21790,7.87,9.082830492,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1961,10.410042,1990,7.71,20.54666325,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1999,1.333872,14410,7.87,20.83968828,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2005,0.996165,8940,7.32,20.5465815,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1989,11.469164,66360,6.4,20.64003503,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1994,3.817926,5430,1.88,21.04711815,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C04,J
1993,1.2595168,11660,6.27,20.74180624,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,33.71261,74660,6.27,20.73823183,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1984,34.586943,8030,6.5,20.64003503,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1993,0.908559,7350,3.78,21.17080345,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1992,0.352936,23990,7.85,20.5465815,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1986,5.12291,20280,6.56,20.83968828,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1991,47.67462,,6.49,10.08076703,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1996,2.777644,16030,7.62,10.09165862,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1992,2.215898,1880,13.7,10.31037756,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1980,20.347671,20970,9.29,10.09123699,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
2001,0.325461,37350,6.27,10.18260702,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1994,0.3770512,15820,7.87,9.965384076,DI,URBAN,Other Location,Mildly Corrosive,C01,J
1996,19.364694,19150,11.72,10.12875063,DI,URBAN,FOOTWAY,Non-Corrosive,C05,J
1999,15.168084,15740,4.09,9.965384076,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1990,64.922169,9970,4.76,9.965384076,DI,RURAL,FOOTWAY,Mildly Corrosive,C01,M
1996,0.78814,15880,5.81,9.942698964,DI,URBAN,FOOTWAY,Non-Corrosive,C01,J
2011,0.766317,8000,7.18,10.01014618,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2005,8.893422,,7.03,9.965384076,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1994,10.8314928,,10.72,9.937339612,DI,URBAN,Other Location,Mildly Corrosive,C02,J
2000,32.391612,7020,6.27,10.21292772,DI,URBAN,FOOTWAY,Mildly Corrosive,C04,M
1999,0.774795,,4.36,10.28935871,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1986,44.207118,79900,7.84,9.942698964,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C03,J
2002,1.066344,72030,6.95,10.54133413,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1997,5.808843,18360,7.71,10.38134445,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2007,13.86624,35750,6.89,9.821897302,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2001,7.9745952,,4.22,10.0611791,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2000,30.126416,67790,8.23,10.7877199,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
2000,22.399818,7070,6.33,10.22711483,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
2000,0.4109632,20910,7.03,10.22711483,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,16.250756,17050,4.73,11.04898319,DI,RURAL,FOOTWAY,Mildly Corrosive,C01,M
2007,80.711502,71860,9.71,10.37733783,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C02,M
1989,6.608444,6800,5.14,11.04898319,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1988,4.951152,6370,5.88,10.9338163,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1956,83.519604,18460,6.55,10.67018631,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1985,67.561496,87120,4.67,10.43319615,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2003,0.361728,29930,7.43,10.52507422,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,J
1989,0.792693,10980,6.47,10.37733783,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
2002,1.030548,11570,6.87,11.28422338,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1988,105.261435,11380,4.51,11.42834471,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C05,N
1984,70.565848,,2.71,10.56808814,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1997,1.288656,47840,6.56,10.38203207,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1993,2.792559,23030,6.38,10.75232843,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2006,0.823936,,5.14,10.71482308,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C01,M
1997,0.6594,20870,3.1,10.27900168,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2003,18.129261,,6.62,10.73661712,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2010,1.960302,15420,7.17,10.58792315,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1997,0.628314,17430,6.82,10.73661712,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1991,1.816176,39900,6.18,10.74142399,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1980,5.300634,,7.03,11.60994462,DI,RURAL,Other Location,Highly Corrosive,C05,J
2008,17.239856,11010,0.93,11.74991482,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1989,31.952012,11730,5.21,10.91718112,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C04,M
1998,2.300835,11450,4.96,11.61972762,DI,RURAL,Other Location,Mildly Corrosive,C05,M
1993,1.926861,1560,9.83,10.98750358,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,0.847486,17200,6.36,11.96666283,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2008,0.422644,9190,11.62,11.62257342,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1991,99.147855,12340,4.57,11.72188369,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1994,16.793976,11200,9.22,11.621772,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,22.336704,17050,4.66,11.55062381,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1992,45.772722,,4.87,11.64609608,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1998,0.7513392,27630,5.36,11.7006796,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1992,115.228266,11730,5.21,11.64609608,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,J
1986,8.376264,16430,7.65,11.66587295,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
2003,1.98919,8120,4.83,11.64609608,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1990,0.6222224,10340,4.58,10.94869941,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1989,26.432991,13870,5.98,11.91635055,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1992,0.3220384,,10.1,11.67543589,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1985,138.249333,5220,9.22,-41.94397582,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2011,1.10371,62050,6,11.64609608,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
2004,3.26403,4940,3.56,11.7665804,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1993,4.657248,,5.24,10.63608887,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1998,0.29516,,7.24,11.59442102,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2013,4.266632,8140,12.41,11.4882761,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,J
1994,8.5644128,,2.65,11.35270952,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1991,76.863432,17050,5.07,11.59442102,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1991,0.2532096,4710,4.21,10.98888452,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1987,33.695968,21920,5.35,11.72641256,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1987,1.99233,20860,5.98,11.68255317,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1987,2.771835,43110,11.28,12.01706092,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1997,1.247679,10120,7.17,11.64049121,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2004,11.706705,12210,5.02,11.87023044,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1998,4.006954,39900,6.25,11.85393851,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1991,2.421254,3850,1.24,11.17381307,DI,URBAN,Other Location,Highly Corrosive,C01,M
1997,135.653652,12240,5.42,11.8800118,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1999,0.924573,16020,5.74,11.81294957,DI,URBAN,Other Location,Non-Corrosive,C03,J
2006,13.730592,2660,5.99,11.08659838,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1996,1.172319,7810,3.87,11.15366062,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2001,0.698022,26800,2.18,11.85506285,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C03,M
1994,150.614496,7740,3.96,11.85604665,DI,RURAL,FOOTWAY,Mildly Corrosive,C03,J
1994,1.209999,12140,7.17,12.07598356,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1997,0.6357872,9780,6.27,12.06621157,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,6.017496,7020,6.27,11.81453073,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2005,18.457548,,2.53,11.97035454,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2003,20.158172,,8,10.54075261,DI,URBAN,Other Location,Non-Corrosive,C01,M
2013,7.49361,88800,7.17,11.97228153,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,J
1994,103.322956,17240,0.12,12.12194747,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1994,4.131612,26280,5.88,11.97035454,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C02,N
1999,1.04091,39950,5.07,12.07598356,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,0.2778272,20960,11.83,12.19600445,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2008,1.885413,20120,6.31,11.99475499,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1996,0.596914,14410,7.87,12.07598356,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1994,0.263446,17200,6.56,11.52471757,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1985,4.445298,11450,6.13,11.50965994,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1999,62.799686,,7.31,11.28615235,DI,RURAL,Other Location,Mildly Corrosive,C05,J
1989,1.181896,21920,5.35,11.37399216,DI,URBAN,Other Location,Mildly Corrosive,C03,J
1994,0.1190688,,6.38,11.46779046,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1988,57.083944,5140,7.32,11.37399216,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C03,M
1984,97.604388,13400,5.22,11.2865183,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1989,8.435139,5360,12.17,11.52522018,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1991,1.110304,39900,6.11,11.56831891,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1990,1.016732,22710,7.14,11.42998745,DI,URBAN,FOOTWAY,Highly Corrosive,C03,M
1996,1.565918,4330,6.72,11.07652183,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1990,2.245414,20910,7.1,11.22937955,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1995,0.727224,15020,6.47,11.39598376,DI,URBAN,Other Location,Mildly Corrosive,C03,M
2013,41.163987,,6.01,11.20846861,DI,RURAL,Other Location,Mildly Corrosive,C04,M
1984,0.4712512,21040,7.71,11.42010141,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1989,2.002221,34550,5.36,11.37145656,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1990,1.482394,,9.63,11.21434155,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2009,0.614812,24790,7.22,11.22980118,DI,RURAL,FOOTWAY,Non-Corrosive,C02,M
1980,1.360719,87280,7.02,11.40150034,DI,URBAN,Other Location,Mildly Corrosive,C04,M
1987,3.313014,12240,7.85,11.07652183,DI,URBAN,FOOTWAY,Highly Corrosive,C03,M
2003,5.61903,9970,7.71,11.42010141,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,J
2003,16.608402,49590,7.15,11.42010141,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,J
1989,38.788734,15620,11.42,11.3753736,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C05,M
1992,0.4564304,,12.68,10.74899868,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1989,37.662416,76020,6.42,11.23036335,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1989,8.334345,,4.59,11.16464643,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1999,3.159154,9630,7.09,11.42010141,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2002,12.60396,1660,8.24,11.56818188,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1980,1.166824,9930,11.97,11.39598376,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1999,3.154758,26990,5.4,11.20846861,DI,RURAL,Other Location,Highly Corrosive,C01,M
1991,24.681342,43620,7.68,11.56867397,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1980,0.175055,10330,6.22,8.704769462,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,47.629875,20490,2.76,11.50495737,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2002,1.023012,25960,6.89,8.753265389,DI,URBAN,Other Location,Mildly Corrosive,C03,M
1980,0.424528,19160,7.37,8.634371261,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
2008,65.11104,75590,6.33,8.875984327,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,1.926704,12150,5.25,8.790673579,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2004,0.5440992,,12.48,8.789892248,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1988,10.753872,9400,7.32,8.875984327,DI,URBAN,FOOTWAY,Non-Corrosive,C03,J
1995,3.927355,,6.64,8.767370947,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C01,M
2008,13.790409,16700,7.71,8.704769462,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2008,36.798288,11260,12.2,11.48432868,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2003,4.386423,11740,7.17,8.753265389,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
2001,10.510208,3560,7.71,8.875984327,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1998,1.4903696,10560,6.01,8.914540203,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1989,15.58539,19580,7.09,8.704769462,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1991,32.732145,4420,3.52,11.32353185,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1994,2.723008,8670,6.13,8.812051253,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1987,3.034496,18860,7.7,11.47292125,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1995,0.595344,78120,6.96,8.753265389,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1989,42.463005,,4.49,8.767370947,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C01,M
2014,42.456725,31080,12.11,8.940493871,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
2004,2.106783,10180,0.51,8.704769462,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1996,1.038084,17060,5.25,8.86328301,DI,RURAL,Other Location,Highly Corrosive,C01,M
1997,30.126102,9410,9.22,8.940650137,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1976,69.934865,12940,5.14,8.875984327,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1995,9.263628,8640,4.56,10.8261592,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1989,10.776009,11630,5.28,10.77339231,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2002,3.091016,16270,5.67,10.78040101,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1984,12.487152,11300,3.45,11.75683348,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
2004,1.843494,10920,5.5,11.67425394,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1991,1.883686,4330,1.24,10.82991768,DI,RURAL,Other Location,Highly Corrosive,C01,J
1989,80.746356,32920,6.43,10.77741379,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1998,0.618894,17060,6.29,10.97275704,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1999,20.303868,,5.67,10.92244749,DI,RURAL,Other Location,Mildly Corrosive,C05,J
2002,1.542996,8020,12.48,10.78008848,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2002,4.420335,16270,5.53,10.78040101,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2002,9.839504,13890,5.55,11.03774325,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1997,12.003592,14720,1.93,10.73239752,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1998,31.668627,6320,5.88,10.92752059,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
2006,20.588352,3480,9.51,10.92023333,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1990,1.117212,6650,12.28,10.92023333,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,M
1997,3.131208,24640,9.22,11.0902857,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2009,2.371328,40530,5.69,11.0515953,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1990,0.7654064,6650,12.28,10.92023333,DI,URBAN,Other Location,Mildly Corrosive,C05,J
1993,6.42444,8530,12.28,10.92023333,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,J
1984,0.943884,8020,6.57,11.34428811,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
2003,0.349482,34330,3.76,10.73239752,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1998,2.938412,52990,6.04,11.02397979,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1989,0.595344,9040,6.79,10.98541353,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1999,5.991434,14720,2.82,10.73239752,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1992,18.779398,,5.79,10.93800276,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1996,0.69394,30610,9.15,11.38106893,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,0.208182,4390,4.76,11.35639268,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
2006,0.394384,18860,12.48,11.2697724,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1999,36.366224,,5.01,11.49313045,DI,RURAL,Other Location,Non-Corrosive,C01,M
2001,0.385592,9940,2.94,11.42834471,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1990,3.70206,9310,9.01,11.38916478,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
2003,0.491724,9470,6.31,11.42834471,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
2010,2.255148,,5.88,11.84935035,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2000,3.438771,,6.62,11.38141271,DI,RURAL,Other Location,Mildly Corrosive,C04,J
2004,59.281002,4940,0.25,11.03278887,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2007,8.243442,,6.36,11.36585849,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1991,0.716862,98640,6.33,11.42834471,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1995,12.519808,30690,7.78,11.42834471,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C05,M
1980,1.438434,5940,5.43,11.07170894,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1992,2.779371,25960,4.16,11.10742918,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1994,2.331921,,6.56,11.16634838,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1995,1.05504,8920,9.22,10.98802711,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1995,5.661891,,6.64,8.544095568,DI,RURAL,CARRIAGEWAY,Mildly Corrosive,C01,M
1988,18.708748,53920,6.8,11.00999665,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1988,46.623348,10070,3.65,11.07170894,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1994,11.892436,11760,1.6,10.91276165,DI,RURAL,Other Location,Mildly Corrosive,C02,M
1986,19.729876,12720,5.64,11.07170894,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1998,10.156644,98010,5.91,11.07170894,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1999,18.526314,34330,2.07,11.06665678,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1986,192.510888,,7.44,11.14180344,DI,RURAL,Other Location,Non-Corrosive,C01,M
2007,6.1649504,,8.87,11.14102211,DI,RURAL,Other Location,Mildly Corrosive,C02,J
1996,0.572108,,6.33,10.93839695,DI,RURAL,Other Location,Mildly Corrosive,C02,J
2009,16.020123,19060,5.01,10.93839695,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,J
1998,1.476585,68090,5.98,11.08041844,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1999,2.249496,76180,5.88,11.08041844,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C02,J
1996,2.962904,,7.24,11.28583205,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1996,0.3996592,63790,12.41,11.18231699,DI,URBAN,Other Location,Non-Corrosive,C01,M
1993,12.4972,11940,4.57,11.12158054,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1984,0.993496,48990,12.41,10.93839695,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2004,16.719872,9720,4.39,11.3101808,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,J
1992,9.12798,4850,7.85,11.3101808,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,24.16858,34090,4.76,11.28844103,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1998,2.237564,,6.95,10.93839695,DI,RURAL,Other Location,Mildly Corrosive,C03,M
2006,22.020192,320,12.59,11.15278792,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
2007,1.294308,125670,6.57,11.18231699,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1980,12.259188,35840,7.71,11.18231699,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,J
1999,14.60414,,5.29,11.79579823,DI,RURAL,Other Location,Non-Corrosive,C01,M
1983,41.86248,22470,7.72,11.70470941,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2014,5.277555,7790,7.2,11.71818287,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2002,23.0319,32920,6.43,11.76103575,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1998,21.92505,41150,6.67,11.29169816,DI,RURAL,FOOTWAY,Mildly Corrosive,C01,M
1998,9.513572,52990,6.53,11.77977377,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1997,0.490468,,7.24,11.7261428,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2002,4.082314,20950,6.27,11.7373502,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1998,13.791822,,4.8,11.52932862,DI,WATERBODY,Other Location,Mildly Corrosive,C01,M
1997,7.0142576,,6,11.69868686,DI,RURAL,Other Location,Mildly Corrosive,C02,M
1986,48.341085,93630,7.51,11.63720144,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2014,0.526578,7790,7.07,11.71818287,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,J
1990,1.279864,10340,4.58,11.17558202,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1992,3.810704,,6,11.69276288,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1999,13.27278,52990,6.31,11.79298631,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1998,2.247298,52990,6.04,11.7791487,DI,RURAL,Other Location,Mildly Corrosive,C01,N
1983,11.698227,12260,7.79,11.69134761,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,M
2008,30.420477,6280,5.21,11.28132627,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1999,14.617956,52990,6.31,11.64498729,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2006,7.023866,,7.1,11.18880184,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1998,2.885032,52990,6.18,11.62580381,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2009,9.042258,10690,5.35,11.43323537,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1991,2.196744,107740,5.58,11.1856973,DI,URBAN,Other Location,Highly Corrosive,C01,M
1994,7.788456,12720,6.27,11.34472736,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1998,1.178128,15680,7.8,11.40076443,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1991,22.68493,4330,0.62,11.25628404,DI,RURAL,CARRIAGEWAY,Highly Corrosive,C01,M
1999,2.088728,80540,6.15,11.1852285,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2002,2.464743,7730,6.68,11.34472736,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1991,18.5769936,,3.36,11.26316493,DI,RURAL,FOOTWAY,Highly Corrosive,C01,M
1980,2.815167,14710,11.62,11.31108751,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1994,17.8985024,,1.27,11.26383538,DI,RURAL,Other Location,Mildly Corrosive,C02,J
1995,5.706636,23140,7.55,11.36684717,DI,URBAN,Other Location,Highly Corrosive,C01,M
2010,0.743238,79300,12.48,11.30579092,DI,URBAN,Other Location,Mildly Corrosive,C05,M
